"player_name","usage","month","source"
"E.HONDA","1.504%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","1.478%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.478%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.418%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.397%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.330%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.325%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ROSE","1.311%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.285%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.239%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.169%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","1.105%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.067%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.026%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.024%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","0.958%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","0.953%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","0.898%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","0.816%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","0.812%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"F.A.N.G","0.627%","202108","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RYU","11.032%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KEN","7.808%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GOUKI","5.614%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GUILE","4.316%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KAGE","3.691%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CAMMY","3.557%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZANGIEF","3.314%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"VEGA","3.212%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"URIEN","2.859%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KARIN","2.840%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAKURA","2.408%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CHUN-LI","2.390%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NASH","2.375%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LAURA","2.286%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GILL","2.283%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"M.BISON","2.275%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ED","2.200%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"JURI","2.119%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ALEX","1.981%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAGAT","1.947%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"E.HONDA","1.795%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.779%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CODY","1.751%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.685%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","1.673%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.622%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.582%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.494%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.487%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.455%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.326%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.326%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ROSE","1.316%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.209%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","1.143%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.122%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","1.039%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","1.034%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","1.010%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","0.959%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","0.949%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"F.A.N.G","0.738%","202107","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RYU","10.648%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KEN","7.695%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GOUKI","5.580%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GUILE","4.060%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KAGE","3.492%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CAMMY","3.441%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"VEGA","3.149%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZANGIEF","3.131%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KARIN","2.744%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"URIEN","2.690%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NASH","2.549%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAKURA","2.409%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ED","2.370%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"M.BISON","2.360%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LAURA","2.353%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CHUN-LI","2.297%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"JURI","2.181%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ALEX","2.158%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GILL","2.114%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAGAT","2.031%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","1.959%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.763%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CODY","1.757%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.690%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"E.HONDA","1.680%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ROSE","1.680%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.676%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.671%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.623%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.552%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.462%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.340%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.298%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.235%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.188%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","1.156%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","1.126%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","1.062%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","1.016%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","0.979%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","0.905%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"F.A.N.G","0.730%","202106","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RYU","10.611%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KEN","6.547%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GOUKI","4.981%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GUILE","3.631%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CAMMY","3.562%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KAGE","3.449%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ROSE","3.424%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZANGIEF","3.148%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"VEGA","2.970%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"URIEN","2.689%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KARIN","2.678%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAKURA","2.662%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ED","2.595%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"M.BISON","2.413%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"JURI","2.403%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ALEX","2.368%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LAURA","2.356%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CHUN-LI","2.278%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NASH","2.218%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAGAT","2.126%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GILL","2.119%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","1.968%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CODY","1.812%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.804%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"E.HONDA","1.729%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.701%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.625%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.577%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.569%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.545%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.492%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","1.397%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.352%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.251%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.249%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.156%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","1.053%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","1.035%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","0.962%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","0.926%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","0.848%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"F.A.N.G","0.723%","202105","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RYU","10.965%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KEN","5.519%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ROSE","4.846%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GOUKI","4.695%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KAGE","3.805%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GUILE","3.604%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CAMMY","3.454%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZANGIEF","3.094%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"JURI","2.898%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"VEGA","2.823%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAKURA","2.713%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ED","2.681%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KARIN","2.484%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ALEX","2.460%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CHUN-LI","2.459%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"M.BISON","2.446%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"URIEN","2.327%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAGAT","2.198%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LAURA","2.126%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GILL","2.055%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CODY","1.839%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","1.807%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"E.HONDA","1.776%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","1.764%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NASH","1.756%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.619%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.606%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.596%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.590%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.484%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.464%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.416%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.355%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.233%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.226%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.151%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","1.061%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","1.031%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","1.010%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","0.947%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","0.921%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"F.A.N.G","0.698%","202104","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RYU","12.722%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KEN","5.518%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GOUKI","4.637%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KAGE","4.065%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CAMMY","3.395%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GUILE","3.344%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","3.302%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZANGIEF","3.020%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ALEX","3.004%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"JURI","2.941%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"VEGA","2.911%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAKURA","2.779%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"M.BISON","2.670%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KARIN","2.640%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ED","2.476%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CHUN-LI","2.462%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAGAT","2.357%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LAURA","2.197%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GILL","2.181%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"URIEN","2.120%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"E.HONDA","2.019%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NASH","1.940%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CODY","1.832%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.824%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","1.719%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.664%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.584%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.521%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.469%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.437%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.419%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.416%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.240%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.177%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.119%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","1.108%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","1.084%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","1.022%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","0.983%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","0.950%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"F.A.N.G","0.729%","202103","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RYU","10.929%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KEN","5.842%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GOUKI","5.771%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KAGE","4.068%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GUILE","3.878%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CAMMY","3.203%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZANGIEF","3.152%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"VEGA","3.085%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DAN","2.858%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KARIN","2.831%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAKURA","2.733%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CHUN-LI","2.679%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"URIEN","2.567%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SETH","2.529%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LAURA","2.275%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ALEX","2.254%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"JURI","2.245%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"SAGAT","2.236%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"GILL","2.182%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"M.BISON","2.130%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ED","2.064%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ABIGAIL","1.866%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NASH","1.863%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"E.HONDA","1.831%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"G","1.788%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"KOLIN","1.770%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"LUCIA","1.715%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"CODY","1.712%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"ZEKU","1.602%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"R.MIKA","1.577%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BALROG","1.556%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"IBUKI","1.445%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"NECALLI","1.406%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"POISON","1.318%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"RASHID","1.179%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BIRDIE","1.154%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"DHALSIM","1.043%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"MENAT","1.018%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"BLANKA","0.978%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
"FALKE","0.922%","202102","https://game.capcom.com/cfn/sfv/stats/usagerate"
