game,track.id,track.name,track.artist,track.album.name,track.album.release_date,track.album.release_date_precision,track.explicit,track.duration_ms,track.popularity,track.external_urls.spotify,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Just Dance Unlimited,2imPYyH0VRBsNAJfrM8B4N,Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",Monster Mash,08/03/2013,day,FALSE,189750,3,https://open.spotify.com/track/2imPYyH0VRBsNAJfrM8B4N,0.685,0.682,2,-9.296,1,0.336,0.503,0,0.364,0.734,69.786
Just Dance Unlimited,0cwEvwz7syhgHKXX1z4puc,Moskau,Dschinghis Khan,7 Leben,01/01/2007,day,FALSE,221373,60,https://open.spotify.com/track/0cwEvwz7syhgHKXX1z4puc,0.676,0.724,5,-5.941,0,0.039,0.0681,9.29E-05,0.139,0.676,132.056
Just Dance Unlimited,5mYtpXrZZ1bbGJYDGC8I0Y,99 Red Balloons,Nena,99 Luftballons,21/08/1984,day,FALSE,284773,0,https://open.spotify.com/track/5mYtpXrZZ1bbGJYDGC8I0Y,0.543,0.482,4,-12.789,1,0.194,0.0853,9.22E-05,0.111,0.415,193.513
Just Dance Unlimited,3vJG33adGD5Z39Gb6Cnevi,Mambo No. 5 (A Little Bit of...),Lou Bega,A Little Bit Of Mambo,1999,year,FALSE,219666,0,https://open.spotify.com/track/3vJG33adGD5Z39Gb6Cnevi,0.607,0.817,5,-6.861,0,0.401,0.103,0,0.322,0.902,174.19
Just Dance Unlimited,5J7aWjJ8yBplRumpM7sKBO,Miss Understood,Sammie,Miss Understood - Single,08/11/2013,day,FALSE,217762,30,https://open.spotify.com/track/5J7aWjJ8yBplRumpM7sKBO,0.682,0.784,6,-4.356,0,0.0343,0.0255,0,0.215,0.325,99.009
Just Dance Unlimited,6iHlEQfWD9twzBsNv5lrvW,My Main Girl,Mainstreet,Breaking The Rules,01/01/2013,day,FALSE,169853,18,https://open.spotify.com/track/6iHlEQfWD9twzBsNv5lrvW,0.714,0.747,0,-4.917,0,0.0802,0.0657,0,0.0347,0.86,102.045
Just Dance Unlimited,6chdRBWviHlm7JAtwgflBP,Maps,Maroon 5,Maps,16/06/2014,day,FALSE,189840,0,https://open.spotify.com/track/6chdRBWviHlm7JAtwgflBP,0.743,0.717,1,-5.521,0,0.0299,0.0223,0,0.0678,0.88,120.025
Just Dance Unlimited,5lWSa1rmuSL6OBPOnkAqoa,Rasputin,Boney M.,Daddy Cool,14/03/1994,day,FALSE,220666,71,https://open.spotify.com/track/5lWSa1rmuSL6OBPOnkAqoa,0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005
Just Dance Unlimited,59kTVUKhpcFw9zMLPSbFvH,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.,24/03/2008,day,FALSE,192893,54,https://open.spotify.com/track/59kTVUKhpcFw9zMLPSbFvH,0.249,0.804,10,-3.233,1,0.0502,0.0201,0,0.262,0.389,155.066
Just Dance Unlimited,7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,"LMFAO, Lauren Bennett & GoonRock",Sorry For Party Rocking,01/01/2011,day,FALSE,262146,74,https://open.spotify.com/track/7mitXLIMCflkhZiD34uEQI,0.751,0.736,5,-4.168,0,0.156,0.0206,0,0.265,0.352,130.014
