Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Source
Daven ツ,1298068,706,3.28,10.1,6990,20635,45500,706225,467,5.89,19,2461,11738,24199,475861,175,2.88,9.5,1843,4797,20933,1531164,784,4.41,14.9,5274,19793,53855,55239,26,26,4.85,10.8,240,1038,1804,
Yermoermo,534864,138,1.92,4,3443,6360,22632,1202152,668,3.12,7.4,9054,26188,42919,793500,313,2.2,8.2,3834,7741,32218,1482336,622,2.7,6.2,10034,25445,55371,87720,55,75,3.23,5.6,990,3019,2826,
croatianbuffalo,616382,108,1.67,5.1,2104,3341,26384,2707159,924,2.2,8.1,11426,23079,110001,60305,9,0.95,2.8,317,294,2804,623529,129,1.19,4.1,3125,3570,26703,369770,107,139,2.06,6.8,1570,3020,13488,
Max Ax3,1649772,625,2.22,6.6,9490,19724,56586,840219,423,2.12,9.6,4410,8464,30644,109076,51,2.56,10.3,494,1132,4155,1409297,590,2.53,9.1,6499,14935,49071,381194,99,132,2.95,5.6,1766,4925,12656,
Grizi Χewer,1422900,762,3.95,9,8502,30578,48914,342193,875,4.56,15.7,5575,21435,12750,1005210,408,2.43,10.1,4029,8794,39256,1237716,776,3.04,9.8,7919,21716,50761,34010,40,25,4.78,7.8,516,2273,1238,
d0rrk,189730,26,1.31,1.2,2209,2865,7877,2427490,1477,2.51,9.6,15410,35037,84476,339973,98,2.13,5.5,1790,3602,13518,1051403,243,1.72,2.7,8878,14851,40700,26537,24,30,1.79,7.4,326,542,921,
NEOObtwᵀᵀⱽ,1684771,825,2.62,8.9,9319,22244,62059,1272367,961,3.09,17.7,5417,13777,45483,209477,165,5.39,30.1,549,2071,7003,837712,460,2.47,9.5,4842,10805,31645,473801,59,52,7.09,3.5,1690,11563,14354,
危険を恐れて泣いてる,922945,40,0.82,0.5,7897,6424,41321,1550158,597,0.93,5,12002,10653,64136,36782,18,3.46,12.6,143,433,1465,1494988,627,1.72,8.2,7639,12093,61341,155466,11,26,0.79,0.9,1164,906,8167,
78 Rotory cl,1810808,489,2.85,3.9,12458,34067,62555,197637,143,2.74,5.9,2438,6288,7279,792275,345,3.65,11.1,3120,10129,31252,1201909,528,3.02,6.4,8294,23466,45757,138655,56,52,3.58,9.4,596,1935,3465,
ᵀᵀⱽ LupiiNz,69747,10,0.84,0.6,1756,1464,3049,3247363,1848,1.75,9.4,19560,31062,118025,347576,125,1.9,7.5,1662,2923,14236,339152,96,1.59,4.6,2094,3169,12831,470900,113,172,2.5,4.6,2435,5816,12714,
FuScOnEd,752417,113,1.97,4,2817,5339,29613,2810439,1994,3.47,24,8323,21932,97013,132448,95,4.44,26.1,364,1194,4538,303100,95,2.74,8.9,1062,2650,11505,120697,26,14,2.67,8.6,302,736,2838,
222 GaminG on FB,75710,9,0.97,2.5,361,342,3562,3516887,983,1.56,5.1,19351,28627,144718,56910,42,3.76,23.2,181,522,2009,346977,79,1.35,4.5,1743,2249,14690,247837,3,9,7.07,0.4,674,4744,9582,
Jukіe,762059,222,2.19,3.9,5628,11835,31251,1212673,903,3.77,11.4,7916,26426,39491,797532,250,2.15,6.9,3608,7235,34091,1222599,477,2.43,6.5,7306,16606,51920,93113,64,76,3.96,9.6,670,2397,2809,
TWITCHXANDYKAWAI,897161,313,1.96,7,4465,8153,33802,1525521,941,2.25,13.3,7095,13823,58201,106224,93,6.24,36.2,257,1023,3391,1469256,897,2.08,12.3,7280,13254,53282,89499,28,29,5.11,8.2,342,1603,3122,
TNG NicFN,1315118,643,3.14,8.2,7807,22485,51327,344893,444,4.17,11.2,3965,14694,11629,1021670,565,4.11,17.1,3307,11264,40074,1310328,1020,3.83,12,8499,28624,49311,117639,189,171,5.27,12.4,1528,7063,3481,
mcdabz,672839,156,1.8,3.8,4142,7155,29032,1319393,1170,3.57,20.3,5766,16400,42040,239793,79,2.3,8.1,972,2052,10277,1748597,657,2.45,7.1,9287,21107,68160,131346,95,105,3.42,13.7,692,2044,4133,
iTzMarcli,1669997,292,1.62,3.3,8821,13833,68792,1356767,448,2.32,6.8,6587,14266,54811,252158,91,2.19,8.6,1064,2128,11224,707314,224,2.48,7.3,3084,7090,27931,69462,10,29,3.5,3.2,314,1063,2367,
GAWS TV,1097353,599,3.4,9.2,6508,20101,40468,683047,830,4.22,17.2,4820,16824,23612,452718,162,2.32,8.9,1826,3853,20078,1745135,1124,3.57,11.8,9555,30096,62958,95870,59,66,3.91,7.8,755,2720,3281,
B0MII 波米,301738,70,1.55,2.4,2877,4358,12101,2238184,1588,2.67,15.3,10381,23473,79932,665626,270,2.23,10.3,2624,5238,28638,783824,388,2.88,11.2,3476,8878,28952,615292,74,65,2.45,5.8,1270,2929,15241,
Romp N Stompy,1300566,312,1.46,3.2,9648,13599,50766,1625157,898,2.26,10.8,8281,16678,60732,197924,105,3.69,15.6,672,2092,7257,854184,236,1.51,3.5,6719,9802,33968,64077,27,42,2.53,5.7,477,1138,2288,
sea_dweller,2841010,552,1.78,3.5,15853,27239,109355,355835,124,1.19,5.1,2418,2738,15420,71994,33,2.33,11.7,281,579,2840,706835,132,1.33,3,4465,5781,30133,272177,17,19,2.8,1.5,1156,3192,10198,
QuiltedMaple,885753,377,2.26,5.6,6687,14243,32819,1127568,910,2.85,16.3,5590,13334,38270,384879,258,4.18,23.2,1112,3570,13939,1563163,914,2.33,8.9,10236,21700,54596,206812,57,71,5.47,5.1,1119,5814,7374,
NotsKaiky,874581,111,1.46,1.7,6537,9402,33095,1468166,522,1.53,4.8,10850,15818,58418,389895,109,2.21,5.7,1913,3978,16301,1216994,254,1.5,3,8390,12183,48583,1265689,186,196,3.89,4.5,4116,15306,29176,
wilaxx59,548766,21,0.75,0.7,2954,2192,27018,1349467,750,1.72,14.5,5185,7643,51021,641237,145,0.88,5.1,2860,2399,32162,1425623,190,1.01,2.7,7155,7014,66430,115021,7,8,2,3.1,225,436,1943,
LamontNastyTTV,349033,60,1.4,2,2954,4041,15792,1462626,1070,2.54,11.1,9648,21799,54029,972629,275,1.74,6.3,4346,7074,44201,1181181,379,1.89,4.7,7986,14347,49025,40305,22,29,2.94,8.2,268,724,1123,
CooL 酷,3037531,438,1.4,2.2,20350,27804,115553,188001,88,2.69,7.5,1179,2930,6881,158147,53,2.75,6.9,768,1964,6590,581770,174,2.78,5.6,3113,8185,21330,325142,80,60,3.21,6.3,1260,3788,7308,
TocToc-Faaaaio,402779,176,2.1,8.5,2069,3966,15026,1682984,1241,3.42,16.5,7500,21421,59161,437167,232,2.98,14.2,1629,4170,17642,1436820,685,2.55,10,6851,15709,53581,240481,36,52,5.92,4.3,837,4739,7669,
ℵℶ ℵℶℵ,2213094,91,1.34,0.4,25420,33854,74322,351544,90,1.6,2.4,3791,5926,13562,538822,80,2.03,2.1,3807,7550,21342,848475,107,1.31,1.3,8243,10672,34136,143564,79,78,1.41,4.7,1680,2255,4845,
cr yusewimps,1347075,433,2.95,8.2,5263,14244,54835,351616,158,2.58,8.6,1846,4360,12000,1237721,635,3.61,15.5,4091,12487,48234,1015437,377,3.08,10.8,3493,9585,41628,32101,13,11,4.39,7.4,175,711,937,
BØRRACHØ,323876,55,0.71,1.7,3264,2286,14783,1511901,794,1.27,7.9,10016,11728,61771,431928,134,2.13,7.7,1732,3403,18948,1683503,399,1.32,3.9,10271,13057,70579,97918,18,33,2.6,3.6,499,1249,3786,
OG-nutone76,143354,15,0.71,1.4,1071,755,6096,3015639,1261,0.6,7.4,17006,9424,125316,134188,47,0.67,7.4,636,397,5728,656202,129,0.7,3.5,3671,2477,28133,1020615,85,131,1.84,2.8,3030,5431,27216,
njethro,319929,121,2.11,11.6,1047,1953,12859,2277610,1730,3.63,24.8,6964,18996,84490,145173,83,2.87,17,488,1162,5735,1207450,521,2.16,11.3,4616,8835,48592,1096734,245,139,6.87,10.8,2259,13840,24608,
Bart LovesMajo,772379,129,1.23,2.5,5219,6275,32484,770104,303,2.01,8,3794,7010,30522,826410,221,1.23,5.6,3948,4569,39600,1583627,381,1.49,4.6,8337,11824,66954,151255,34,62,2.28,4.5,748,1630,5717,
Batatinha_Chips,305462,21,0.96,1.4,1534,1446,13489,2747522,1018,1.36,8.3,12204,15190,111613,188610,58,1.01,6,971,923,8047,705467,167,1.12,4.7,3587,3815,29371,181404,9,20,1.91,1.2,748,1414,6856,
hateme4that,858630,224,1.68,5.1,4353,6939,33366,1896364,1236,2.61,17.9,6923,14868,68101,276269,125,2.39,11.7,1069,2252,11258,907634,305,1.8,7.1,4266,7147,35781,495920,44,63,7.49,4,1093,7857,11937,
War-Ghost,1713735,262,1.81,2.4,10757,19040,62470,575276,264,1.57,9.8,2692,3818,22735,260485,66,1.45,4.9,1343,1858,11178,1399163,331,1.56,4.3,7771,11625,55392,885917,21,40,4.33,2.2,959,4063,9870,
Roadkiller.,821696,120,1.77,2.5,4855,8363,33269,1007926,358,2.19,7.2,4938,10032,37043,494953,130,2.09,5.7,2270,4469,21856,1583708,438,2.17,5.4,8067,16584,60488,155550,79,98,3.38,11.9,662,1971,5015,
EssMGeeSprAY_TTV,1496525,68,0.87,0.6,12055,10449,67251,538728,193,1.34,6.3,3064,3853,22308,517843,46,1.05,1.4,3304,3412,25155,1386614,165,1.02,1.6,10262,10301,61615,355705,54,10,5.34,8.5,633,3092,5879,
Visu Akusto,1738916,318,2.62,3.2,10032,25445,62386,454247,262,4.08,9.6,2720,10029,14417,648212,299,3.65,11.8,2543,8201,26016,1097017,454,3.19,7.7,5881,17312,41690,58268,29,37,3.74,4,732,2626,1661,
kokosinela,2606829,252,0.95,1.7,14963,13946,111625,434435,58,1.07,2,2832,2955,19831,32478,2,0.89,0.8,255,226,1553,863491,87,1.36,1.6,5455,7327,36644,990301,53,89,0.84,1.4,3693,3043,26784,
ɱąɖŋɛҳųʂ,287942,37,1.19,2.9,1292,1489,12239,2391388,1371,2.2,16.5,8302,15263,95869,399268,207,2.73,15.9,1305,2998,16217,861066,212,1.54,5.8,3651,5302,36291,235302,52,85,3.25,7.4,705,2121,7639,
Roger_Rabbitツ,133159,4,0.3,0.5,865,262,6608,3655026,777,0.8,4.1,18755,14314,169103,13446,0,0.24,0,96,23,713,135220,6,0.26,0.6,1086,276,7023,218713,22,48,0.62,2.7,807,484,6430,
Twitch kargeaux,456959,84,2,2.8,2987,5813,16510,1927842,1027,2.47,8.5,12016,27172,70962,216734,46,1.97,4.5,1025,1933,9750,1334775,365,2.1,4.4,8264,16603,50305,82797,14,18,5.26,3.3,419,2132,2699,
Kelu04,649549,264,2.43,6.6,3990,9063,22054,2061314,1534,2.61,10.7,14298,33302,72978,274228,212,5.77,26.2,808,3441,8860,948124,411,2.24,6,6877,14465,34706,79072,49,38,2.71,8.8,555,1373,2623,
zaviria,1835637,98,0.91,0.8,12362,11129,86633,1446332,232,0.71,1.9,12403,8582,69405,440913,101,2.46,5.6,1805,4185,19486,203462,12,0.94,0.9,1409,1310,9534,145075,33,64,1.08,2.9,1145,1201,5586,
just bubble〆,824082,157,1.6,2.2,7252,11349,35788,809661,473,2.2,6.2,7628,15767,30283,930104,234,2.09,5.4,4329,8573,41191,1365896,350,1.74,2.8,12644,21390,57443,48761,30,40,2.4,4.6,649,1488,1619,
DELETE Kloff,760102,436,2.12,11.9,3666,6857,28541,1190691,854,2.49,12.1,7061,15466,43121,271156,147,3.39,15.3,963,2770,10351,1708144,887,2.26,9.2,9673,19835,63491,83948,39,56,2.49,4.1,943,2254,2687,
mrJonnyM,523719,163,1.66,7.1,2306,3561,20361,2643323,1689,3.05,18.2,9259,23058,95693,104857,36,1.58,7.5,479,702,4796,657492,244,1.92,8.7,2817,4948,25487,743386,27,47,9.59,1.6,1710,16147,23587,
Lxckyer,1479151,285,1.71,3.1,9336,15448,57801,471769,258,1.76,8.9,2888,4628,16299,842470,273,1.71,7.2,3783,5991,35246,1124633,336,1.47,4.7,7096,9944,45500,499679,147,102,4.7,7.9,1862,8063,11120,
DaddyWrzeszczyk,1148354,611,2.37,6.1,9956,22171,46485,811700,843,3.38,16.6,5064,14275,25787,877897,402,2.91,12.4,3242,8271,35068,1089348,700,2.43,8.8,7913,17515,42752,80353,113,80,3.12,9.6,1172,3303,2432,
SPCambo9,2385619,910,2.02,10.4,8750,15858,100840,399724,245,1.62,9.9,2484,3622,15098,64318,28,2.22,9.9,284,568,2719,1076278,410,1.88,7.9,5199,8985,42021,324150,48,66,3.23,4.1,1158,3590,9404,
Braxtonjames2020,1294907,704,4.32,15.1,4675,17153,41338,557559,343,5.3,17,2019,8885,19568,33653,16,4.04,11.3,141,505,1286,2040252,1433,5.73,21.5,6660,29970,65265,356745,9,7,4.1,1.3,707,2863,9951,
Deyf5 en twitch,1214774,392,1.62,4.2,9322,14479,47765,514237,281,2.07,8,3518,6696,19374,686135,277,1.72,10.3,2698,4162,31462,1519647,742,2.43,10.7,6905,14949,57404,187051,65,72,2.05,4.2,1552,3049,6676,
leafkemon TTV,975226,633,2.74,6.9,9202,23508,35146,1095669,1266,3.73,16.2,7817,24429,38994,122268,64,4.26,15.2,420,1517,4701,1726819,1235,3.19,11.8,10430,29350,62944,235450,172,117,5.64,15,1143,5474,6474,
ttvSomeSaucy,199022,30,1.19,2,1524,1773,8015,3144667,1663,2.2,10.4,15933,31327,117724,114097,56,4.75,13.9,403,1648,4161,459732,115,1.27,3.8,3027,3693,18609,235055,59,44,4.07,8.5,692,2575,5201,
ᴰᵀ RISE oF AMIR,2346919,207,1.15,1.4,14429,16338,104420,671424,134,1.15,2.9,4662,5221,28977,234757,41,1.33,3.4,1200,1539,11118,665333,70,1.05,1.5,4622,4797,29216,81928,12,25,3.92,3,399,1518,2667,
Mma A7Aψ,1746880,681,2.72,10.1,6736,16491,62126,846103,509,3.89,15.6,3270,10740,30296,167209,63,2.39,9.4,668,1445,7509,1157442,466,2.93,10,4675,12344,44203,34930,0,0,6.67,0,130,867,1369,
shakatop,997297,180,1.06,4.4,4126,4201,42596,2115794,762,1.47,8.5,8984,12088,89733,195917,60,1.37,8.8,685,854,9506,603530,115,1.08,4.5,2576,2655,27567,401734,21,43,3.58,1.6,1277,4498,14477,
DXR_R1pPeR ツ,413059,84,1.01,1.6,5117,5104,16896,1756387,1046,1.97,10,10412,18464,64571,438435,173,2.62,9,1925,4597,17845,1302526,406,1.42,4.2,9772,13340,52068,579875,173,222,2.8,5.9,2942,7741,17695,
OMGさん,52735,20,1.74,4.6,432,715,1860,2558463,2590,3.18,21,12343,30993,87216,354267,389,9.95,53.1,733,3424,10855,948604,669,2.5,13.6,4922,10615,34676,1512395,436,513,6.92,10.5,4166,25824,48277,
GoodGuyBambi,39987,42,1.53,4.3,966,1414,1550,2760556,2161,2.57,12,18022,40790,104005,125955,47,2.85,10,472,1212,4804,985926,572,2.09,7.2,7898,15316,37730,208651,131,120,3,9.2,1425,3878,5819,
JK BRaVE YT,330809,51,1.31,2.5,2008,2559,14318,2201098,1765,2.53,13.2,13341,29291,73796,403721,118,1.37,6.4,1841,2358,18696,976361,317,1.76,6.3,4996,8213,40238,62020,39,51,3.53,11.9,329,1025,1932,
EryKDragoN,649758,303,1.85,4,7539,13401,25215,2290421,1314,2.26,8.4,15628,32366,88833,52192,15,3.23,7.8,192,572,2052,919145,437,2.45,7.4,5876,13351,35823,20757,26,28,3.77,9.5,273,930,565,
adv dawinǃ,2345755,341,1.35,1.6,21802,28896,91853,103256,49,1.2,3.9,1243,1428,3872,272072,107,2.66,9.2,1164,2811,10837,1184803,358,1.73,4,8943,14841,44724,109544,12,9,1.45,0.9,1318,1895,3940,
Dheylo Granjero,2060412,1553,3.91,14.1,11009,36977,70212,763180,1022,5.61,28.6,3574,14310,22557,97356,37,3.08,12.3,302,815,4053,987292,1073,4.3,21.3,5034,17026,33932,129889,119,61,6.39,15.3,780,4222,3597,
N3W_ST4R_M3,859542,159,1.22,1.3,12576,15208,35373,1489915,761,2.15,7.4,10240,20415,56445,290706,63,1.83,4.5,1393,2429,13384,1261031,327,1.68,3.5,9276,15068,50559,290796,65,103,1.48,1.7,3877,5640,10580,
evox x Liswe,1637092,104,0.69,0.7,14154,9640,75912,726434,198,1.02,2.6,7687,7629,29548,445459,77,0.86,2.8,2703,2271,22198,1091693,167,0.84,1.7,9720,8058,48815,398781,59,135,1,1.6,3739,3694,15408,
nɹǝԀ ɹǝpʍƎ,2731523,252,0.89,1.8,14269,12459,130027,431264,85,0.84,3.1,2757,2235,19681,88890,15,0.6,2.9,514,300,4563,650179,112,0.92,2.9,3907,3487,29070,773416,151,118,2.21,8,1883,3833,15085,
BigPapiStriker,978377,483,1.99,10.4,4664,8336,37351,1971610,1456,2.74,13,11175,26676,70225,62677,14,1.26,5.5,255,304,3051,887483,455,2.04,9.2,4947,9145,34067,39951,6,4,3.08,4.6,130,382,754,
SAVAGE 义,673901,64,1.1,1.2,5428,5874,26719,2028080,686,1.21,4.7,14598,16884,81170,224512,94,2.01,10.4,902,1623,8796,972475,124,1.09,1.6,7552,8118,40182,188847,29,8,4.64,4.8,608,2689,4436,
DramaCorn,975279,577,2.2,8.6,6748,13601,33713,1482901,1324,4.58,26,5101,17285,48180,80070,54,5.03,22.8,237,921,2737,1353936,763,2.41,9.8,7791,16924,48472,118423,74,76,2.13,6.5,1142,2275,3797,
WilsonTheThird,2048436,542,1.41,4.6,11850,15987,84342,616540,300,1.58,8.2,3672,5322,24676,24878,14,2.14,13.9,101,186,966,1203223,457,1.55,7.2,6345,9128,48377,64723,14,20,4.61,4.7,301,1322,2408,
ғᴀᴢᴇ ARAKA29_ツ,303044,51,1.29,3.1,1661,2082,12518,2598161,1061,1.93,8.6,12341,21772,104693,271618,110,2.64,10.6,1038,2453,10853,714959,131,1.48,3.3,3960,5661,30345,444575,56,108,3.69,3.8,1491,5300,14548,
primal kcazzy,287561,28,1.31,1.3,2233,2886,11869,1948003,1043,1.9,10,10477,17879,71350,193170,68,2.01,7.6,891,1652,7752,1457659,366,1.67,4.2,8671,13896,57638,311488,84,118,2.63,5.8,1439,3567,8336,
TTV cdogz12345,519871,152,0.91,2.2,6839,6107,21748,2485104,565,1.12,3.5,16043,17315,107240,17650,1,1.16,0.9,117,134,694,861444,156,1.1,2.3,6675,7159,36246,762381,163,252,2.23,3,5421,11714,29933,
Lvstphoenix,342443,9,0.61,0.3,2873,1735,15843,3089041,543,0.77,2.7,19994,14907,141106,95194,19,0.86,3.7,518,428,4134,358249,28,0.59,1,2693,1581,16430,1208364,192,49,1.03,3.9,4914,4845,30821,
da_Kìlo,1191346,315,1.56,3.5,8953,13509,46068,1682884,1195,2.58,18.9,6312,13200,61703,206173,156,4.69,28.7,543,1815,6924,801862,265,1.53,5.1,5204,7564,32635,32227,10,23,3.15,5.4,186,555,1099,
RK Hysteria,634098,105,1.22,1.8,5747,6880,24935,1501721,484,1.18,3.8,12826,14560,63356,211777,75,2.54,7.9,954,2233,8415,1536891,377,1.54,3.8,9837,14535,61740,189341,58,56,3.87,5.3,1103,4044,6212,
СROUSE,898923,214,1.64,4.7,4532,7078,40160,1818982,1147,1.98,10.9,10552,18623,68450,307705,114,1.31,8.7,1305,1557,14271,851048,352,1.55,6.8,5143,7420,35327,218847,35,44,5.01,4.7,751,3587,4765,
Stefan -,716471,55,0.89,1.3,4259,3758,32131,1614506,326,0.95,3.1,10367,9525,73352,232524,60,1.45,5.1,1181,1622,10620,1303212,207,1.27,2.7,7653,9455,56583,1021930,35,56,1.71,1.1,3075,5186,29010,
استغفرالله ّ ّ,481074,22,0.75,0.3,8171,6129,20907,3250006,454,1.23,1.4,31563,38173,132924,3861,0,0.97,0,32,31,172,144608,18,0.98,1.1,1662,1615,5810,356800,22,21,0.96,1.3,1647,1566,6533,
nugメ,971611,155,0.64,2.7,5678,3525,44370,2838634,526,0.94,2.7,19438,17815,125338,11870,0,1.13,0,83,94,547,53856,3,0.68,0.6,490,333,2371,491008,26,14,1.07,2.6,992,1034,8404,
UZB050,164537,17,0.72,1.2,1390,989,7574,3391857,853,1.03,4.3,20022,19817,146596,125385,33,1.18,5.4,612,683,5448,186409,32,0.79,2.7,1203,921,8203,1370419,95,61,4.4,3.2,2989,12741,29769,
Liquid Harmii,1765726,1079,3.53,8.2,13217,42845,66442,300717,303,4.65,10.4,2911,12126,10481,593239,269,3.12,13,2062,5587,24875,1214501,1110,4.4,17.2,6442,23453,44558,110514,111,65,4.95,10,1110,4949,3028,
Trévon,1450020,533,2.19,8.9,6003,11958,53159,592452,408,2.75,18.3,2228,5006,21852,146518,115,4.25,27.9,412,1263,5161,1679780,810,2.24,12.2,6636,13039,63276,149761,31,39,3.03,5,615,1769,5252,
cerin7,1145368,528,2.59,4.7,11223,27689,39628,1670280,1275,4.55,11.6,10980,44141,57088,215468,116,5.28,13.3,869,3976,7699,834184,481,3.46,7.1,6746,21669,28594,52001,44,50,3.43,6.1,718,2315,1702,
CL4NPlayer TTV,278258,48,1.24,3.7,1290,1542,11934,3001336,1415,2.03,11.9,11908,21345,119060,72982,35,2.16,11.9,295,562,2950,511937,121,1.3,4.7,2574,3183,21378,738858,191,237,3.28,7.8,2439,7373,23395,
Fen1x Recargado,1218493,78,0.57,1.1,7311,4153,56968,1736267,869,0.58,8.2,10553,5664,74678,228738,78,0.63,8.8,883,506,11267,683076,149,0.62,3.9,3824,2269,31096,130665,15,26,1.74,2.5,591,1001,5170,
duokiller82,1798875,157,0.94,1.6,9937,9205,80297,683583,156,0.7,3.7,4218,2844,31653,308126,50,0.96,2.8,1800,1674,14707,1078997,118,0.79,1.7,6845,5325,48865,292330,15,17,1.88,1.8,823,1515,6857,
DeskPopDave TTV,1220980,124,0.89,1.6,7521,6558,53346,1059821,435,1.5,8,5426,7467,42852,195709,69,1.96,9.3,742,1322,8446,1386586,365,1.22,5,7299,8432,59578,72693,2,7,3.18,0.8,239,754,2100,
GW_Nephrite,2598256,2305,4.96,21.7,10600,41168,92513,204047,200,4.4,18.6,1073,3841,7224,439385,232,2.44,16.9,1372,2782,20750,620962,595,4.4,24.3,2446,8147,25877,42690,48,13,6.1,15,320,1658,1272,
juansit0_BEAT,441743,103,1.36,1.3,7954,10652,17408,2498087,1851,1.32,8.3,22228,26926,91743,320016,126,2.28,9.6,1306,2688,12283,606210,210,1.2,3,6987,8107,24935,324313,90,119,2.73,6.8,1332,3391,9618,
KyoFN TV,655956,271,2.05,3.9,6861,13517,23416,2715832,2110,3.98,21.2,9950,31230,93675,,,,,,,,490572,217,2.74,9.4,2307,5724,18147,73601,20,38,3.71,6.3,315,1093,2348,
VKS rezende,1117936,267,2.81,4.9,5480,14651,41069,493461,152,3.08,5.6,2700,7837,17666,1066687,460,3.48,11,4170,12914,40762,1185401,369,2.96,6.8,5449,15032,44796,89325,29,29,4.62,7.3,399,1711,2899,
Dougall Ya DiGG,60930,21,2.32,4.9,426,938,2121,2534170,1258,2.22,8.7,14533,29417,96706,7998,2,2.7,5.7,35,89,304,1257466,470,2.27,6.9,6813,14393,46679,138885,61,58,3.32,9.8,620,1858,3625,
zbrore,2053725,182,1.2,1.2,14748,17548,87314,410365,192,1.53,6.5,2972,4256,14730,310295,78,2.35,4.3,1831,4111,12275,1085589,132,1.34,1.7,7548,9903,47445,184162,32,41,2.43,3.1,1044,2464,6127,
娜勒杰迪诶迪勒,519443,62,0.94,1.2,5068,4690,22984,2847553,955,1.03,5.2,18262,17764,121862,94794,46,1.33,12,382,446,3882,394595,80,0.82,2.8,2813,2231,16965,594242,72,40,4.74,4.1,1747,7939,13454,
4 Not Hellfire,847923,257,2.55,4,6378,15593,32285,255412,321,3.95,9.1,3521,12635,9172,911446,368,3.48,10,3663,11475,35403,1841248,942,3.41,7.8,12136,38225,66591,23917,101,79,5.07,16.9,596,2508,720,
Hazardous Logic,429303,25,1.34,1.2,2166,2878,19433,2634927,1075,1.83,9.1,11839,19724,105918,259891,103,1.71,10.6,972,1489,10965,507829,110,1.42,4.1,2691,3658,21501,414848,34,57,3.83,2.6,1300,4853,11994,
illuminanceTTV,593994,187,2.97,8.1,2296,6266,21960,1430563,999,3.95,19.3,5171,16475,47323,270119,76,1.95,6.6,1155,2099,12256,1557534,707,3,11.7,6033,15989,57253,185219,61,76,4.1,7.7,793,2999,5721,
GEIL MaXiGuM,44567,4,1.14,0.9,425,481,1798,2837560,1565,2.67,12.9,12095,28159,104186,348101,171,3.21,13.2,1291,3594,13175,624003,157,1.89,5,3126,5606,24329,146748,40,65,5.81,7.2,558,3008,4600,
GeneralMarkan,1330102,66,0.4,0.7,9404,3774,63125,1470271,614,1.04,9.1,6763,6424,58639,154646,30,0.86,3.9,762,627,6818,895180,103,1.08,2.4,4273,4508,38758,102012,13,38,0.23,1.3,1007,230,4050,
Bunny ӝ,1127320,453,4.03,11.8,3847,13684,38512,1493904,1017,6.2,17.7,5742,29279,49544,404527,193,4.82,13.7,1406,5843,15208,827820,463,4.86,14.8,3128,12939,29067,115895,16,19,8.13,5.9,269,2058,2186,
C.p_98,570415,77,1.01,1.5,5243,5211,24936,1206193,519,1.4,5.6,9280,12229,49344,362641,89,1.39,5.1,1738,2296,17441,1710730,423,1.25,3.5,12212,14790,73015,127548,77,98,1.58,4.7,1622,2446,4107,
KingFlippurPlays,488745,59,1.09,1.9,3116,3323,20486,2066547,1001,1.32,9,11127,13334,81392,457495,176,1.66,9.4,1868,2801,19061,835089,180,1.09,3.8,4791,5035,35546,837716,97,132,5.1,4.1,2371,11591,24851,
Softе,1492867,1882,5.08,18.3,10262,42582,50254,720944,1536,5.69,20.4,7540,34147,23905,407972,135,2.26,8.3,1631,3385,18008,1221556,1160,4.69,16.6,7005,27403,46050,45498,139,61,6.77,21.3,654,3487,1477,
病む病む_,1180241,757,4.5,20.5,3698,13247,38963,953314,1032,2.35,16.9,6094,11917,33431,71921,64,5.96,35.6,180,691,2547,1639637,1328,3.92,23,5784,17459,55386,358782,362,300,3.63,23.8,1518,4199,11771,
not sad bent,551153,378,3.02,8.9,4257,11707,21962,2454260,2364,5.07,27.3,8675,31981,86324,145437,61,3.01,11.2,546,1462,5853,692564,610,4.24,13.3,4580,16816,25891,355019,361,507,5.02,27.8,1297,4703,11974,
Dom only,1679934,155,1.16,1.4,11377,12983,68088,1153885,299,1.02,2.7,11271,11170,47969,293873,52,2.72,3.8,1370,3584,12189,715655,72,1.16,1.5,4727,5378,30055,421002,57,56,5.69,3.4,1673,9199,13909,
VegboyWonder,3655496,519,0.73,4.9,10531,7335,169273,53399,17,0.71,8.3,205,134,2360,4094,1,0.67,6.2,16,10,191,131091,22,0.95,4.7,472,426,5849,41822,1,5,0.85,0.9,117,99,1364,
P Patrol67,1933301,100,1.49,1,9701,14263,77392,685409,208,1.41,6.1,3436,4552,28272,110665,27,1.78,5,537,906,4570,1114118,85,1.31,1.4,6091,7875,47743,613174,1,6,2.32,0.1,1952,4536,23619,
PewLookAlike,101486,7,0.44,0.5,1331,587,5166,3681361,250,0.2,0.6,39761,7758,184760,19,0,0,0,1,0,2,54432,6,0.17,1,613,102,2614,221783,10,11,1.29,1.3,782,999,8747,
Fivaxe,1753631,173,1.33,1.4,12242,15999,73168,875778,195,1.46,3.2,6030,8541,35394,475193,64,1.47,2.3,2793,4006,22322,714521,86,1.48,1.7,5119,7457,29319,475319,46,67,1.98,1.6,2788,5434,16243,
