Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Source
Death 〤,711108,192,1.71,2.8,6911,11457,25978,1839986,1148,2.86,10.6,10792,27552,65266,567724,288,3.89,14.6,1977,6562,21780,1758836,820,2.26,6.7,12204,25759,63668,366451,149,157,3.02,5.9,2526,7186,11416,
thichlachoi,1135164,123,0.83,1.8,6873,5569,54715,2356183,1488,0.75,7.6,19501,13537,94608,311693,143,1.39,12,1187,1451,13142,1068813,295,0.79,4.2,6967,5270,46501,1264483,112,149,3.11,4.1,2705,8054,27483,
ultrа aim assist,2273341,467,0.99,3.5,13157,12505,100542,915264,426,0.71,4.1,10342,7032,39422,34340,9,0.88,5.2,172,143,1604,1643035,582,1.02,5.9,9824,9437,73129,984548,194,250,2.54,4.5,4287,10378,30489,
Damnnn Habibi,623413,66,0.91,1.3,5171,4644,28842,2489982,976,1.28,6.5,14933,17845,100481,500917,110,1.05,4.1,2674,2705,23981,1247462,198,0.95,2.1,9504,8869,54379,100095,10,19,2.43,2.5,395,934,2678,
ashley stinks,2322176,2061,5.75,25.3,8139,34971,72863,919104,1599,5.74,27,5928,24827,30632,69545,40,2.49,17.7,226,464,2968,1544509,1631,5.49,26.9,6061,24309,47232,102089,102,72,5.22,16.8,608,2643,3098,
TMojo Pops Addy,3711294,1627,2.65,12.3,13209,30703,133996,576344,319,3.13,13,2460,6708,20924,139391,67,4,11.6,580,2053,5287,422698,179,2.26,10.7,1678,3391,16014,114306,9,24,2.68,1.2,754,1995,4058,
VIEJO_MATABOTS,734264,60,0.68,1.7,3574,2373,33277,3066778,990,0.47,5.4,18206,8076,135062,258590,112,0.67,10,1118,676,11105,791828,150,0.6,3.6,4208,2417,35180,277920,47,90,0.98,3.7,1270,1194,11268,
11Prochy,1615140,559,1.98,4,14078,26816,58028,697134,504,2.52,8.4,5966,13765,24234,655513,271,3.18,11.5,2354,6615,29145,1857601,773,2.5,6.7,11610,27065,70828,821251,343,311,2.85,4.9,7026,19067,24712,
ᴄᴏᴅᴇ_ꜰʀ0ɴᴛʟɪɴᴇᴛᴠ,1409461,15,0.58,0.2,8380,4862,70284,2469928,869,1.46,7.1,12172,16452,100935,319270,37,0.8,2,1846,1450,15950,640409,32,0.65,0.8,3940,2540,31835,541918,5,5,8.07,0.4,1327,10667,18335,
GoodMyK,1649346,92,1.15,0.9,10401,11903,73735,706778,169,0.71,4,4210,2851,31843,497120,84,1.62,3.3,2521,3943,23237,1986655,221,1.36,2,11053,14736,90364,135775,14,15,2.16,4.2,336,695,2865,
ShootingblanksX,2492009,1113,5.1,14.5,7693,33528,76011,470458,354,9.2,23.8,1489,10437,14925,469685,200,2.55,12.1,1647,3691,19899,1370461,779,6.87,17.7,4409,24946,44392,97881,22,33,4.82,6.1,359,1624,3387,
Kromreyli ӝ,1130164,524,2.67,5.8,9102,22937,43389,1188980,886,4.53,13.3,6669,26193,39769,521193,187,2.8,9.3,2019,5126,23316,1976812,1043,3.24,9,11631,34311,70173,265063,232,164,5.6,13.9,1671,8055,7561,
not Adreplays,1574078,339,1.46,2.9,11682,16544,65881,408380,414,1.76,9.7,4267,6779,16695,1062778,368,1.5,8.4,4384,6036,47213,1789088,570,1.6,6,9520,14341,73739,22913,38,43,2.87,10.9,350,894,703,
Zemie,896707,493,3.05,5.2,9392,27099,30362,3081525,1371,4.82,6.5,21094,94972,103397,197026,62,2.92,6.6,938,2556,7908,653754,328,2.63,7.8,4179,10122,26108,208953,98,109,4.36,5.6,1760,7252,6930,
