name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,source
SlivkiShowDE#7394417,127,3514,1.03964497,10,54,15,110,9017,583,1005,7.379746835,79,336,28065,955848,87.6380789,37082,3380,
Brandon23mbraigl#8315348,3,2,0.4,0,1,0,0,0,3,0,3,0,0,0,2000,0,0,5,
Nicl#3787901,0,1,0.166666667,0,1,0,110,0,3,0,3,0,2,0,800,0,0,6,
BSE Diplex12#3553140,155,2888,0.816742081,21,40,7,110,5912,298,487,3.170212766,94,834,19866,526696,203.2067114,25778,3536,
catchy_pod1#3099664,250,3995,0.803499598,8,140,2,112,485,1634,879,163.4,10,327,2050,2439098,5.188494492,2535,4972,
treras17-alberto#1406383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
ThrownSquash651#2573613,0,43,0.447916667,0,8,0,110,0,50,11,50,0,1,0,36700,0,0,96,
vert#9567407,1,192,0.47761194,0,28,0,111,0,189,24,189,0,128,0,273875,0,0,402,
usmigal66#6816012,3,3,0.136363636,1,1,1,0,33,4,0,4,1,6,623,975,187.35,656,22,
BattlePants#7047267,0,0,0,0,1,0,0,0,1,0,1,0,0,0,200,0,0,1,
f-xc56#1900417,1,0,0,0,1,0,0,0,1,0,1,0,0,0,200,0,0,1,
Mastter P#2864394,166,2164,0.816603774,9,32,5,110,5806,309,295,2.575,120,390,30246,341754,297.2718447,36052,2650,
Maniel#7923329,0,3,0.375,0,1,0,0,0,4,2,4,0,0,0,1950,0,0,8,
caixukun#9277516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
CeCtyri#6968314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
FBCK-XENO#2351550,0,3,0.75,0,2,0,0,0,2,0,2,0,0,0,6225,0,0,4,
CrazyDogg85#4990548,30,1698,0.835218888,10,78,4,100,1944,639,302,24.57692308,26,154,8564,1216319,26.37558685,10508,2033,
II Wartaken II#8674285,410,18819,1.851170569,37,142,24,12,65224,1058,3254,1.73442623,610,2492,265349,2488505,315.3958412,330573,10166,
wineo_3#7687787,0,2,1,0,1,1,110,0,1,1,1,0,0,0,1550,0,0,2,
z_SqEzY_z,10,649,0.891483516,8,16,4,0,1704,41,106,3.727272727,11,125,8387,114168,197.897561,10091,728,
NeoDCUK#1890144,324,2110,0.623154164,9,25,6,2,3235,547,244,2.721393035,201,275,32685,232545,295.7967093,35920,3386,
StellaLuna#8897521,532,11266,0.837060703,18,136,17,111,48951,1585,1752,3.585972851,442,2762,242601,2305761,215.2485804,291552,13459,
GUCCI_PANDA69696#6731819,0,43,0.443298969,0,8,3,111,0,42,7,42,0,33,0,38825,0,0,97,
InstantNitro#1464389,0,5,1,0,1,0,110,0,1,2,1,0,2,0,2220,0,0,5,
Resalim#7186697,211,2467,0.483346395,7,33,5,1,6651,409,468,2.588607595,158,517,62265,365938,256.1765281,68916,5104,
MMYSKILLZ9#2398417,2,106,0.56684492,6,4,3,0,479,7,15,1.4,5,37,2148,15645,394.0285714,2627,187,
A7-RM7#8021103,94,137,0.617117117,5,19,3,81,110,97,31,32.33333333,3,2,580,143850,14.52989691,690,222,
alexgm_swc#5774255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mugolden2706#1468055,20,620,0.667384284,10,27,6,110,725,225,95,10.71428571,21,134,5989,266266,52.18133333,6714,929,
Zappe98#5677797,119,3849,0.999480654,11,78,11,111,13396,607,614,5.672897196,107,765,51349,1215695,122.9515651,64745,3851,
xXSilverRazorXx,3,61,0.772151899,5,3,1,0,359,9,9,4.5,2,24,1769,8772,242.6666667,2128,79,
Mr_B4RBAR1AN#3106110,259,1495,0.569740854,5,111,2,111,31,1349,222,1349,0,101,98,1731050,0.399406968,129,2624,
LynnD28#7686309,10,6,0.171428571,0,3,0,0,0,10,3,10,0,0,0,8300,0,0,35,
mandingo pp#1387340,133,436,0.749140893,7,29,3,38,544,218,82,27.25,8,49,2130,298275,12.25321101,2674,582,
momo#9356495,0,1,0.166666667,0,1,0,0,0,3,0,3,0,0,0,750,0,0,6,
Isaacgh_64#9153190,80,81,0.45,0,12,0,6,0,80,13,80,0,0,0,69541,0,0,180,
Persian Don#8581151,0,887,0.939618644,0,48,4,111,0,486,162,486,0,134,0,750915,0,0,944,
Rava14,62,105,0.286103542,5,18,1,110,89,157,22,52.33333333,3,16,444,139425,5.969426752,533,367,
Tico666#2179290,109,1618,0.573555477,9,49,6,110,3982,623,274,13.25531915,47,402,26054,757320,59.53772071,30036,2821,
Philitup#4710379,200,3387,0.631196422,19,64,43,8,13965,596,488,1.747800587,341,1025,69172,1052021,251.0889262,83137,5366,
MaverickMexican,504,19793,1.024535431,15,165,11,111,59813,1312,2666,2.815450644,466,4930,197263,3421625,175.5722561,257076,19319,
IM GAY DADDY#7173728,4,89,0.549382716,6,8,1,0,182,52,14,17.33333333,3,14,1567,37173,47.50384615,1749,162,
rabarinel#2474159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
MeadowsHands#7292359,0,5,0.5,0,1,0,0,0,5,1,5,0,0,0,2225,0,0,10,
dannielito gg#1828243,25,255,0.777439024,5,15,2,110,241,76,62,25.33333333,3,14,1593,104747,31.04210526,1834,328,
NULL_BOX#8325431,30,726,1.038626609,10,14,7,0,3501,62,82,2.066666667,30,128,12571,86600,287.6516129,16072,699,
