name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,source
Jehuz26#3737738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
warnickbigmac#5054659,1,8,0.258064516,3,1,1,0,69,3,2,3,1,9,487,1234,225.8,556,31,
daniil8103#9950018,0,1,0.5,0,1,0,0,0,1,0,1,0,0,0,150,0,0,2,
Maxwell_TeamZ#8985174,172,3979,1.044631137,19,46,6,111,11012,440,601,2.972972973,148,685,56385,681625,280.8763636,67397,3809,
Ehunt08#1909834,65,1764,1.135135135,11,32,8,3,6235,179,213,3.314814815,54,409,23163,349240,212.5843575,29398,1554,
mindful-hod9#7365393,142,2981,0.778532254,11,52,10,110,6287,700,585,7.368421053,95,463,40549,884581,98.02028571,46836,3829,
saurimahrez26#7676529,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,
climpo#2643646,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
god69#4825787,267,5871,0.924712553,15,109,11,68,19209,643,1169,3.420212766,188,1152,87241,1695009,139.0049767,106450,6349,
angry-papa78#6726106,0,0,0,0,1,0,0,0,1,0,1,0,0,0,200,0,0,2,
Mr Noodle8025#7870983,13,35,0.194444444,2,3,1,0,164,17,2,5.666666667,3,11,1669,8930,271.9058824,1833,180,
Gordin_Teddy#9047259,167,2430,1.030097499,12,61,5,110,6115,450,400,6.71641791,67,389,24824,1022918,92.228,30939,2359,
ArchCowell_47#2919731,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
BIGxxBEEFY#6501226,629,6373,0.9750612,12,54,15,111,9673,1196,1080,2.997493734,399,488,65225,954925,239.1958194,74898,6536,
humble-motor8#8365266,62,599,0.362590799,8,17,4,0,1966,96,100,3.2,30,148,13286,124915,244.2625,15252,1652,
GodisAntisocial-#6796128,1,1,0.2,0,1,0,0,2,2,0,2,0,0,8,350,65.1,10,5,
Goochmaster67#7360749,52,1220,0.932721713,19,22,6,0,5127,119,262,2.428571429,49,201,19747,179285,286.0789916,24874,1308,
viibxes#5539431,4,19,0.575757576,4,1,1,0,88,5,3,5,1,7,1071,3360,223.92,1159,33,
CYBORGMARS#2479779,11,306,0.596491228,7,10,4,0,1199,25,64,1.785714286,14,117,7642,54310,296.928,8841,513,
weicheng#4622530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Twizz#2848729,28,755,0.963010204,13,17,7,0,3052,56,118,2.8,20,170,11107,122675,283.4142857,14159,784,
고곰#9543189,1,0,0,0,1,0,0,0,1,0,1,0,0,6,0,63,6,1,
Metro#4177343,529,14977,0.847546828,12,131,16,110,22229,1317,2353,2.198664441,599,2615,156973,2170694,224.2118451,179202,17671,
Suspe#2410971,0,17,0.708333333,0,5,0,0,0,12,4,12,0,0,0,18335,0,0,24,
hopheitlala#1099242,204,6939,1.049773071,15,54,6,110,32222,497,1205,2.377990431,209,1841,167278,928830,292.7118712,199500,6610,
BGN_samir 777#1803305,9,43,0.565789474,3,5,2,1,103,13,5,6.5,2,4,373,20445,60.73846154,476,76,
pandoum62#2508737,625,22038,0.61257505,13,159,17,69,34815,1890,2616,1.89,1000,4146,300818,3139422,332.8422222,335633,35976,
SirMerlock,25,222,0.564885496,8,6,3,0,726,39,34,3.545454545,11,50,6187,24910,329.3384615,6913,393,
Rumham#2788307,38,133,1.198198198,0,13,0,3,0,43,16,43,0,0,0,82284,0,0,111,
Adder7866#8013049,27,93,0.636986301,8,6,1,7,317,33,16,16.5,2,31,1912,28185,63.03636364,2229,146,
Xx_silentman_xX,0,8,0.307692308,0,3,0,0,0,12,1,12,0,0,0,10300,0,0,26,
daddyspankya,567,19082,0.952813702,19,149,15,41,29475,1274,2217,2.064829822,617,1666,207744,2750130,310.3167975,237219,20027,
matyaslalo#1935142,313,11763,0.954169371,16,120,8,110,18741,691,1633,3.169724771,218,2139,123139,1913145,201.2570188,141880,12328,
xxchosinRakkxx#5922509,440,20300,0.908196135,13,155,9,110,23267,1031,1702,1.994197292,517,1906,185284,2977945,308.8021339,208551,22352,
tbenner29#3379325,0,304,0.873563218,0,15,1,111,0,86,59,86,0,92,0,100600,0,0,348,
classy_sparkler5#4520804,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,
De_dusty2,161,4661,0.957674132,19,47,21,1,14727,382,703,1.900497512,201,945,39990,700200,241.652356,54717,4867,
PriZMatiK#8058359,205,6518,0.97618691,15,50,20,18,24626,443,985,2.319371728,191,873,100829,799800,282.5986456,125455,6677,
xINZANIITYx#7400600,33,331,0.922005571,10,13,5,111,1130,56,49,4.307692308,13,72,4706,75250,165.8464286,5836,359,
City_Streets7723#5909611,334,5894,1.012366884,13,260,4,113,1358,2314,1031,72.3125,32,255,7596,7473580,8.229904927,8954,5822,
JessHere,68,1290,0.800248139,8,23,7,3,4893,130,275,2.280701754,57,378,19173,202086,296.7646154,24066,1612,
carlitospower28#2002488,0,3,0.157894737,0,1,0,0,0,8,0,8,0,0,0,1375,0,0,19,
ChungusIzKool#2204786,10,238,0.604060914,6,7,2,0,1078,15,35,3.75,4,87,5197,32650,279.24,6275,394,
gh569#1853417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
tob1xx#6944199,0,24,0.380952381,0,7,1,110,0,28,4,28,0,27,0,30478,0,0,63,
DEUX#9050776,0,4,0.333333333,0,1,0,110,0,6,1,6,0,3,0,2875,0,0,12,
alg_davide07#7413305,8,5,0.333333333,0,1,0,0,0,8,1,8,0,0,0,3450,0,0,15,
IrishCanelo#9737576,0,9,0.236842105,0,2,0,0,0,14,1,14,0,0,0,7075,0,0,38,
MayhemxChicx#6936296,11,281,0.889240506,7,8,8,0,1234,28,37,1.75,16,57,4941,41045,254.1,6175,316,
NecsarYT#8577489,3,93,0.939393939,5,5,2,0,347,12,15,6,2,24,2274,17170,119.1,2621,99,
CleanX#3032190,9,714,1.005633803,14,14,4,0,1121,21,103,1.909090909,11,69,6267,90925,233.0857143,7388,710,
thefazecrew,54,946,0.931102362,10,16,6,0,3504,116,166,2.32,50,121,16293,113355,246.6931034,19797,1016,
XxX NeMeSi5 XxX#3680994,252,8726,1.031320175,13,78,10,71,29274,542,1846,2.203252033,246,1574,112125,1215988,291.7948339,141399,8461,
arunmanu#2759013,17,45,0.633802817,0,9,0,10,0,31,6,31,0,0,0,44525,0,0,71,
saomiggaz#1009037,0,21,0.256097561,0,4,0,110,0,32,7,32,0,19,0,15313,0,0,82,
IMRTLxJonty#8668579,904,30858,0.985815603,16,235,27,110,50516,2554,4758,3.451351351,740,4395,247640,6429594,177.9608457,298156,31302,
nahum624#8891131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
gustavo#9367850,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
stricklyprickly3#2167110,100,2361,0.997886729,11,30,13,111,9611,225,443,2.064220183,109,417,36861,317495,253.7786667,46472,2366,
kippax#1107796,0,3,0.75,0,1,0,110,0,2,0,2,0,0,0,2350,0,0,4,
Rasen#1210295,170,3083,0.954193748,11,38,6,10,12741,332,477,2.990990991,111,721,48468,473148,218.486747,61209,3231,
ElSAAND OLAF08#1982865,3,24,0.585365854,4,2,1,0,55,11,2,11,1,2,151,4325,42.32727273,206,41,
R4Z0R97#5984737,0,0,0,0,1,0,0,0,1,0,1,0,0,0,475,0,0,4,
nizz_ma_killa-_#7990283,9,50,0.641025641,11,10,12,111,621,55,22,5,11,54,1474,53409,68.58545455,2095,78,
sniper_k20k20#1436566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
DON RAMON#5855416,688,16561,0.993222982,22,240,34,111,38584,2444,2359,5.710280374,428,3303,128939,6633430,91.75261866,167523,16674,
Joluco#8115404,0,0,0,0,1,0,0,0,1,0,1,0,0,0,200,0,0,2,
MrShivers19#2640700,189,5511,0.766694491,8,49,7,19,20204,366,966,2.191616766,167,1552,115533,782930,303.9180328,135737,7188,
visitingaton#2762588,30,1534,1.092592593,9,48,6,110,2845,362,256,12.92857143,28,350,11621,756457,46.14696133,14466,1404,
ShadowDragon#7799867,0,9,0.152542373,0,3,0,0,0,27,1,27,0,0,0,10349,0,0,59,
QnHx#8894407,264,6285,0.786116323,11,59,9,110,21610,548,977,2.424778761,226,1592,106642,1007513,261.7740876,128252,7995,
justdontkare69#9541254,2,1211,0.817690749,3,76,3,110,57,715,251,715,0,74,509,1198665,0.917202797,566,1481,
tacomanneedscash,0,1,0.5,0,1,0,0,0,1,1,1,0,0,0,725,0,0,2,
ElvictorManxdxd#7325560,10,391,0.661590525,6,16,7,2,1094,64,79,3.047619048,21,97,7482,114711,164.925,8576,591,
sting#9500304,0,2,1,0,1,0,110,0,1,1,1,0,0,0,1340,0,0,2,
JOSUERC4348#5680567,17,717,1.129133858,14,18,4,9,2522,51,82,2.04,25,135,12457,131549,253.0352941,14979,635,
thedroperk12#4340157,7,74,0.698113208,7,4,2,0,287,13,16,3.25,4,12,1509,12266,242.5384615,1796,106,
Aust1n#9602011,222,11218,1.019540125,13,114,7,15,40567,457,2507,2.343589744,195,3227,174588,1785265,246.7509847,215155,11003,
drmikey1988#3051561,564,15524,0.862444444,12,146,9,110,67113,1223,2753,2.618843683,467,3644,402580,2624106,281.2748978,469693,18000,
WildPants#5497212,0,2,0.133333333,0,1,0,0,0,6,1,6,0,0,0,2100,0,0,15,
FawnBird7116937#2824379,1,18,0.233766234,0,4,0,0,0,19,4,19,0,0,0,12985,0,0,77,
derrickrose1254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
DrunkenMonkey127#2712941,959,31153,1.061648037,14,231,12,111,59935,2554,3784,2.40037594,1064,3548,370434,6248755,228.681989,430369,29344,
diosflorentino,1,28,0.875,5,4,0,1,58,14,7,14,0,3,192,12870,12.98571429,250,32,
GeemozB#7637740,280,6784,1.060497108,13,54,12,5,20654,683,1196,1.836021505,372,1135,79405,923090,209.4263543,100059,6397,
YT GiggyFN#1508241,0,2,0.285714286,0,2,0,0,0,3,0,3,0,0,0,3700,0,0,7,
botboy04#2753501,0,3,0.375,0,2,0,0,0,4,1,4,0,0,0,4800,0,0,8,
barcaaziz66#9762814,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
kondreras#5960820,3,1408,0.934926959,8,82,3,110,260,685,302,171.25,4,73,1353,1267267,2.835328467,1613,1506,
Hopesy#8511209,148,1101,0.922110553,11,36,5,110,3738,227,138,9.869565217,23,237,17287,432963,101.2942731,21025,1194,
Swishe#9214939,156,1410,1.194915254,16,48,3,20,2682,303,266,17.82352941,17,156,9464,753760,35.08910891,12146,1180,
Squirrel_bane#2884402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
yOuNgFlAsHy13#7260729,56,724,0.598347107,8,15,8,0,2456,123,99,2.084745763,59,104,8456,104820,295.2390244,10912,1210,
KevnT96#2687015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
OOelesmki#6492275,319,15471,0.910487288,15,148,32,110,38725,913,2639,2.329081633,392,2328,169710,2680385,238.7060241,208435,16992,
Mythics#7398125,0,48,0.827586207,0,8,0,110,0,26,7,26,0,10,0,39525,0,0,58,
Dreaper88,0,44,1.76,7,2,6,45,384,9,21,3,3,10,873,6057,125.4666667,1257,25,
dupeng01#8456217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZelDoniy#4776049,22,82,0.482352941,4,7,2,5,191,32,11,6.4,5,14,1246,34563,53.68125,1437,170,
HydroChronic230#2393448,34,544,0.767277856,6,30,2,110,245,278,105,69.5,4,28,1949,316854,17.97841727,2194,709,
RodmaN11#2102081,345,12858,1.156087035,16,155,11,110,42938,951,2089,4.029661017,236,2966,157404,2995725,131.7123028,200342,11122,
Mugi13012#9674547,2,0,0,0,1,0,0,0,2,0,2,0,0,0,200,0,0,4,
aksh_Jonas#2124745,10,26,0.8125,6,3,1,1,56,12,9,12,1,2,200,11700,74.7,256,32,
nohablo18#3422628,3,35,0.760869565,7,2,2,0,83,7,5,1.75,4,8,306,4915,259.0285714,389,46,
bro#6308926,1038,20435,0.967612103,235,180,13,111,40235,2285,3654,4.419729207,517,2430,224591,4063346,137.0764989,264826,21119,
_Loki_23#6617235,224,6840,0.721747388,19,137,7,111,22515,1399,1102,8.967948718,156,1306,112017,2342504,80.90693352,134532,9477,
HiBeyt0#1356863,25,658,1.136442142,11,20,16,110,2200,94,95,4.272727273,22,123,7145,155393,200.0170213,9345,579,
XxAssassinxX533#3875206,33,381,0.896470588,0,31,0,111,0,209,69,209,0,76,0,338300,0,0,425,
OriginalPlan803#3502270,0,1,1,1,1,1,0,0,1,0,1,1,0,32,150,344.4,32,1,
WordedSplash645#2996351,216,3981,0.834591195,13,41,5,4,15853,437,491,2.349462366,186,673,78218,547770,255.1510297,94071,4770,
boy#8691728,0,2,0.333333333,0,1,0,110,0,1,0,1,0,3,0,1200,0,0,6,
belkasonic#2695195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
howiewie#6014252,98,1339,0.820968731,8,29,6,3,5504,142,142,3.641025641,39,388,24758,296485,143.3957746,30262,1631,
drafjuandraf#3709128,0,8,0.275862069,0,3,0,0,0,14,2,14,0,0,0,8191,0,0,29,
tangui77470#6191906,7,1,0.055555556,0,1,0,0,0,7,0,7,0,0,0,3400,0,0,18,
PiggyAlabamaRay#7732908,13,341,0.720930233,13,9,5,0,1114,38,55,2,19,89,4673,44115,331.4684211,5787,473,
X_JoE_AuGeR_X#1750332,835,15305,1.076982619,16,125,9,40,25453,1522,2153,3.157676349,482,1226,116725,2023571,249.0756899,142178,14211,
Attt_nets#8701786,39,364,0.817977528,10,21,1,110,674,121,49,40.33333333,3,60,3112,171209,27.26280992,3786,445,
MustangJ87#8996051,424,9706,1.080846325,16,142,8,48,28042,939,1652,4.082608696,230,2138,110374,2493581,153.9079872,138416,8980,
THE 24 EL#5413562,95,1148,0.701282834,8,21,6,19,6530,165,272,2.894736842,57,299,68199,171506,293.2218182,74729,1637,
kingslayer#9285345,1,6,0.3,1,1,1,0,15,5,1,5,0,1,119,3075,101.52,134,20,
Ares#3781625,169,3533,0.855447942,9,35,9,17,15344,394,459,1.858490566,212,945,62191,418772,259.5167513,77535,4130,
XxCdot214xX#2257860,1095,28278,0.890393274,30,200,80,110,84419,2561,4186,2.256387665,1135,6540,292433,4925938,275.8308473,376852,31759,
igiova02#2392799,114,449,0.507918552,6,24,4,4,727,153,63,13.90909091,11,60,3310,213288,56.69019608,4037,884,
Kryptotrik#8679397,248,2227,1.753543307,26,41,9,52,3242,436,633,3.75862069,116,182,11125,558872,183.4610092,14367,1270,
MaddHatterJu#7368140,0,19,0.575757576,0,4,0,0,0,17,1,17,0,0,0,13800,0,0,33,
FlukKIKI#6100275,61,1405,1.118630573,11,21,5,4,6158,120,234,2.448979592,49,335,24456,174166,252.66,30614,1256,
hxhxhx6666#6376629,192,7096,0.964261449,12,61,11,25,21047,421,1040,1.949074074,216,2282,121166,1027438,281.9515439,142213,7359,
anon61425166#7351359,0,140,1.308411215,0,17,1,0,0,57,32,57,0,0,0,119800,0,0,107,
Ragnar_Lodbrok#4477458,1364,19359,1.219003841,16,262,18,111,34808,3744,3198,5.664145234,661,2195,107096,7589428,116.2932692,141904,15881,
Spikeyfish6091#3962410,0,48,0.436363636,0,6,0,0,0,34,9,34,0,0,0,26605,0,0,110,
Killergeek3#9261632,0,0,0,0,1,0,110,0,4,0,4,0,2,0,875,0,0,10,
Mad Hatter#6815873,813,35196,1.099668812,19,228,24,111,94736,2020,5976,2.06122449,980,7049,330986,6119828,271.2683168,425722,32006,
MightyElf#6036552,0,6,0.260869565,0,2,0,110,0,11,2,11,0,2,0,4250,0,0,23,
RossBief#6435617,195,3274,0.838197645,11,36,9,22,11707,345,621,2.536764706,136,657,50141,422995,310.4608696,61848,3906,
kmeeki#8313944,0,27,0.627906977,0,3,0,0,0,13,8,13,0,0,0,11933,0,0,43,
charlesheaden2#9757435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gametime11292018#5407888,2,2,0.333333333,1,1,0,0,2,3,0,3,0,1,52,1100,31,54,6,
Tomfoot7,0,158,0.752380952,0,20,1,111,0,105,41,105,0,5,0,153100,0,0,210,
LoceYs#4006813,0,1,0.083333333,0,1,0,0,0,6,0,6,0,0,0,1350,0,0,12,
Emiliano8555#8077227,0,39,0.176470588,0,8,0,110,0,121,4,121,0,26,0,35225,0,0,221,
user92063806#5076850,176,7405,0.988387613,15,146,6,111,6759,1025,2188,14.23611111,72,699,28832,2614372,55.09580488,35591,7492,
JDTWISTIE#4248520,0,44,0.186440678,0,8,1,110,0,76,10,76,0,34,0,36233,0,0,236,
Tokorozawa#7411094,2,2,0.222222222,0,1,0,0,0,5,0,5,0,0,0,1350,0,0,9,
quattro39#6099528,101,602,0.917682927,6,40,3,110,209,274,110,68.5,4,85,1335,534610,4.182481752,1544,656,
Yohane#7549751,4,193,1.261437908,10,5,5,0,662,15,26,1.666666667,9,30,2219,20680,281,2881,153,
Isnipeforfun#4394841,0,2,2,0,1,0,0,0,1,0,1,0,0,0,1225,0,0,0,
boehseronkel#7044344,780,16338,0.882705711,13,156,6,111,62506,1830,2906,4.103139013,446,3654,324313,3030108,191.4311475,386819,18509,
HermesShetCant#1567171,418,7482,1.308041958,12,240,13,111,7131,1951,1045,27.87142857,70,572,25038,6634672,21.19036392,32169,5720,
魔方的线性规划#6061613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
GLOMIMESS#6744363,413,21473,2.171183013,54,177,29,111,72010,1162,3440,2.381147541,488,3259,213698,3928209,197.7154905,285708,9890,
allenterranova#6251465,336,2128,0.832550861,11,50,6,11,6901,418,263,7.464285714,56,432,39167,795110,73.46124402,46068,2556,
ThyagoPnP,6,1,0.090909091,0,1,0,0,0,6,0,6,0,0,0,1825,0,0,11,
SnakeDr#1834707,1,8,0.285714286,2,1,3,0,38,4,3,1.333333333,3,1,220,3175,244.5,258,28,
你爸爸我叫特朗普#2075450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cedrakus#3618643,7,42,0.388888889,6,2,1,111,197,14,5,14,1,12,1459,6685,169.1571429,1656,108,
Jake07#9371257,856,19904,0.989707125,15,224,19,111,51330,2007,3192,3.737430168,537,4985,210814,5927373,123.0986547,262144,20111,
ABNKKBSNPLAko#9749274,0,149,0.265597148,0,33,9,111,0,245,25,245,0,119,0,362175,0,0,561,
Hollie98x#8675077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
07999854292#2183402,349,7130,0.892924233,15,124,15,111,25374,954,1630,5.074468085,188,1541,85979,2008202,110.4930818,111353,7985,
kingslab#9866125,1386,45125,0.985305035,17,264,9,111,155702,3020,5426,3.348115299,902,9534,733107,7669211,239.4983444,888809,45798,
stakahashi1225#3900532,195,2180,0.724011956,11,30,6,2,7816,349,358,3.144144144,111,392,35282,311950,307.0160458,43098,3011,
Roberkobe18#5251877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
hkbatman123,263,8708,1.171532356,19,74,14,110,26860,660,2010,1.732283465,381,1615,92003,1175655,198.4827273,118863,7433,
user37466875#9943111,484,13937,0.932116105,13,129,9,110,45317,1000,2891,2.754820937,363,2766,151110,2121184,222.6816,196427,14952,
WKMXD#2427049,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dave the Dike#4159984,83,2288,0.925940915,12,31,6,110,9832,189,322,2.25,84,412,28626,335423,303.1238095,38458,2471,
l Wolvez l#9782060,61,629,0.522859518,11,17,7,3,2123,115,76,3.382352941,34,132,6449,126506,231.2921739,8572,1203,
Sposo933#6965738,62,4876,1.040102389,13,177,4,111,6304,1403,898,51.96296296,27,863,28161,3940715,15.3699216,34465,4688,
BLACKRAIN1300#8566374,9,317,0.949101796,7,10,3,110,1168,40,47,4,10,80,6290,57070,159.39,7458,334,
TomeX#3022633,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
xArcTik#6300013,482,9154,1.054851348,20,76,29,3,34500,1109,1592,1.912068966,580,1442,125857,1197060,239.5639315,160357,8678,
afreitas98_2#5358099,97,825,0.398166023,6,17,4,15,4070,201,143,2.644736842,76,293,28128,127061,260.1402985,32198,2072,
jonny04schalke#4007444,34,799,1.111265647,12,20,6,4,3153,71,153,3.086956522,23,123,11953,157125,178.6901408,15106,719,
vojta_h10#8059645,88,226,0.821818182,2,21,1,23,23,126,57,126,1,4,116,170323,2.852380952,139,275,
Med#1618290,193,5630,1.214147078,14,45,15,12,18023,446,838,2.175609756,205,654,71112,643010,186.2367713,89135,4637,
Tony Salerno#3624786,1354,26602,0.989105782,13,249,12,111,84060,3812,5260,4.130010834,923,5077,411582,7007188,105.202256,495642,26895,
Bazyio#5614137,42,1179,1.073770492,9,19,8,4,4528,110,184,1.929824561,57,261,15637,149339,232.0745455,20165,1098,
MILLERAO1998_963#6914796,464,4716,0.868668263,10,171,6,111,6310,1617,968,27.87931034,58,750,34739,3674100,22.47198516,41049,5429,
borikuany,29,610,0.864022663,9,14,4,0,3023,79,128,2.393939394,33,133,14122,93801,247.9898734,17145,706,
MikFar6#8960676,0,249,1.012195122,0,18,1,110,0,111,49,111,0,113,0,135427,0,0,246,
MassAvengance#6441116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
killersd999#2082552,0,23,1,0,6,0,110,0,13,7,13,0,4,0,25977,0,0,23,
MauroVarela1920#3656700,2,14,0.202898551,0,5,0,17,0,31,3,31,0,0,0,18925,0,0,69,
relax72max#8163705,0,1,0.5,0,1,0,0,0,1,0,1,0,0,0,550,0,0,2,
DrAGoNoY994#8560005,224,3032,0.836413793,13,92,8,111,7512,797,556,13.28333333,60,850,40445,1409524,42.13174404,47957,3625,
Zartius#4215720,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sudz69#5416083,0,12,0.307692308,0,3,0,0,0,20,3,20,0,0,0,11125,0,0,39,
MeesterBart1#6870825,92,859,0.688853248,7,70,4,111,275,559,208,186.3333333,3,190,1113,1121745,5.251878354,1388,1247,
Electriz12#9101101,7,14,0.583333333,3,2,0,0,47,8,4,8,0,3,398,6125,58.95,445,24,
DNL_22daniel#9482967,23,59,0.193442623,2,7,2,0,133,67,4,22.33333333,3,10,1850,34710,73.94328358,1983,305,
GlowingCarp9359#6406568,0,40,0.421052632,0,8,0,0,0,44,9,44,0,0,0,38479,0,0,95,
Losvdx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
LT S3XY CRABS#5966372,3,1,0.166666667,0,1,0,0,0,3,0,3,0,0,0,1475,0,0,6,
latifachy#2892784,6,11,0.733333333,0,3,0,0,0,8,2,8,0,0,0,9562,0,0,15,
弧月すてらxTTV#9257100,577,17731,0.986974673,15,152,9,32,63171,1116,2795,2.571428571,434,3758,208196,2850869,244.9037634,271367,17965,
Splashman03#1385595,825,38357,0.99942677,15,243,10,110,88710,2146,6488,3.078909613,697,7287,378354,6747104,178.590028,467064,38379,
LiNeXcL#6487285,121,656,1.192727273,7,41,7,110,282,184,161,10.82352941,17,61,1243,540569,6.329347826,1525,550,
terminetor06901#3825431,0,20,0.540540541,0,3,0,110,0,16,5,16,0,16,0,8925,0,0,37,
FURY TIM#7296494,4,64,0.790123457,0,7,0,110,0,43,8,43,0,23,0,34875,0,0,81,
Xx_Kimberly23_xX#1192580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spokninja#7021926,516,12980,1.00846865,14,122,33,111,56698,1525,2555,2.633851468,579,3492,183514,1974769,161.0643934,240212,12871,
Andrey34#6911692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vald Bagina#1013871,924,16432,0.733080526,19,154,10,111,51185,2321,2388,2.581757508,899,2944,282650,2918538,224.3950883,333835,22415,
AlmightyJaenoo#9037284,1,2066,0.885555079,3,49,2,79,39,346,278,346,1,280,175,775920,2.231791908,214,2333,
Ray_dagirl89#3734006,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,46.8,0,1,
Kanakaz8089451#6469160,37,1095,0.760416667,12,27,5,110,3138,189,178,4.846153846,39,169,12694,254640,141.9174603,15832,1440,
rasmaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alezo0393#6494280,1007,29191,0.966269447,21,231,13,111,101157,3044,4561,2.69380531,1130,7082,367405,6258710,203.799343,468562,30210,
SirRah6IX#3275788,0,60,0.6,0,11,0,11,0,52,11,52,0,0,0,65550,0,0,100,
ShadowMaster#7759491,139,6984,1.425306122,18,67,17,24,23888,408,1228,2.136125654,191,1094,77479,1092883,212.7397059,101367,4900,
Murilloblac23#6139511,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
mange_moi_loring#8137613,1080,38917,1.067506035,16,282,13,111,110293,3250,5882,5.336617406,609,8523,334564,8427197,104.4330462,444857,36456,
axon swivel#5472167,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,
GiorgiChakve187#6376862,0,78,0.354545455,0,12,0,110,0,106,17,106,0,37,0,68638,0,0,220,
yigit_ikc35#1110562,122,1366,0.822891566,7,47,8,111,2576,444,243,17.76,25,346,11288,723170,25.56621622,13864,1660,
TheSayon#1439410,35,67,0.905405405,0,10,0,1,0,37,10,37,0,0,0,54475,0,0,74,
Chizy71#2541733,230,2191,0.799051787,11,33,9,110,6816,468,384,4.216216216,111,422,25105,376361,119.0089744,31921,2742,
GOD#4789468,0,16,1.777777778,0,4,0,110,0,4,4,4,0,3,0,13775,0,0,9,
exolo7#6690218,38,1093,1.219866071,19,50,3,110,303,375,265,53.57142857,7,333,1772,798429,11.336,2075,896,
GweeGwee#4742158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tish_Unruly7#9773705,3,42,0.79245283,4,3,1,110,197,7,7,7,1,6,811,9750,140.6571429,1008,53,
Guyver0ne#4357062,0,6,0.214285714,0,2,0,0,0,10,4,10,0,0,0,4214,0,0,28,
arhu28#4679256,0,27,0.38028169,0,5,1,0,0,22,8,22,0,0,0,19342,0,0,71,
CjDaGoat76#2812145,472,8718,0.747620273,14,97,8,84,22588,994,1077,3.302325581,301,1776,158071,1492446,149.4138833,180659,11661,
rosiezfire#5739343,0,33,0.445945946,0,6,1,110,0,23,9,23,0,26,0,24219,0,0,74,
G4mepad,57,2285,0.692634132,5,115,3,111,445,1154,263,64.11111111,18,781,4126,1804006,10.75112652,4571,3299,
dslugger5#6447941,558,9167,0.722095313,10,141,8,110,16295,1627,1724,5.052795031,322,1333,164790,2447073,136.3043639,181085,12695,
SkinnySkittleXD#1715443,2,43,0.417475728,2,6,1,110,46,37,12,37,1,14,304,23850,18.66486486,350,103,
Bison03,433,9302,0.785973807,13,81,9,111,13186,967,1360,2.168161435,446,691,108481,1253746,260.0233713,121667,11835,
Dogless#8907380,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Awareslo#1422878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
NOZOMI#4865590,695,15074,0.924728544,18,135,21,53,54913,1489,2687,2.196165192,678,4063,322553,2301549,238.8600403,377466,16301,
valdes239266#7072232,0,0,0,0,1,0,110,0,3,0,3,0,0,0,100,0,0,6,
Fernoo#6604406,1158,55368,1.139353033,32,293,26,46,209851,3075,7716,1.84352518,1668,14531,715770,8896196,250.4684878,925621,48596,
